date;sku;txt;umb;qty;
2025-04-08;17925;Traucet acetaminofen 1g/ 100mL PP Foil;UN;1512;
2025-04-09;17926;Traucet acetaminofen 1g/ 100mL PP Foil;UN;5972;
2025-04-10;17927;Traucet acetaminofen 1g/ 100mL PP Foil;UN;5400;
2025-04-11;17928;Traucet acetaminofen 1g/ 100mL PP Foil;UN;480;
2025-04-14;17929;Traucet acetaminofen 1g/ 100mL PP Foil;UN;11040;
2025-04-15;17930;Traucet acetaminofen 1g/ 100mL PP Foil;UN;432;
2025-04-16;17931;Traucet acetaminofen 1g/ 100mL PP Foil;UN;1304;
2025-04-21;17932;Traucet acetaminofen 1g/ 100mL PP Foil;UN;10584;
2025-04-22;17933;Traucet acetaminofen 1g/ 100mL PP Foil;UN;19368;
2025-04-23;17934;Traucet acetaminofen 1g/ 100mL PP Foil;UN;5352;
2025-04-24;17935;Traucet acetaminofen 1g/ 100mL PP Foil;UN;6000;
2025-04-25;17936;Traucet acetaminofen 1g/ 100mL PP Foil;UN;2856;
2025-04-28;17937;Traucet acetaminofen 1g/ 100mL PP Foil;UN;10104;
2025-04-30;17938;Traucet acetaminofen 1g/ 100mL PP Foil;UN;16032;
